adjust_temp,ApplStandard,Brand,Cap,Country,Decl Stand Heat,Depth,Gross Store Cap,Heating Elements,Height,Label-MEPSNZ,Model No,Family Name,N-Standard,N-Standard_MEPS,Sold_in,Submit_ID,SubmitStatus,tot_expan_valves,tot_feed_tanks,tot_hotwat_fittings,TPR Valves,Type,vent_displacement,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.15,,135.0,,,MEPS-NZ2003-electric,TR 135 470 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30059,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.13,,135.0,,,MEPS-NZ2003-electric,TR 135 500 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30060,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.13,,135.0,,,MEPS-NZ2003-electric,TR 135 500 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30060,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.14,,135.0,,,MEPS-NZ2003-electric,TR 135 510 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30061,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.14,,135.0,,,MEPS-NZ2003-electric,TR 135 510 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30061,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.1,,135.0,,,MEPS-NZ2003-electric,TR 135 530 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30062,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.1,,135.0,,,MEPS-NZ2003-electric,TR 135 530 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30062,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.01,,135.0,,,MEPS-NZ2003-electric,TR 135 550 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30063,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.01,,135.0,,,MEPS-NZ2003-electric,TR 135 550 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30063,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,270.0,,,MEPS-NZ2003-electric,TR 270 745 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30064,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
