Record ID,Status,Brand Name,Model Number,Family Name,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL,Availability Status,Expiry Date,Star Image Large,Star Image Small
119166,Approved,HP,OMEN X 25,,"Australia,Fiji,New Zealand",China,62.224,LCD (LED),98.0,0.39,4.6050646874719,4.5,,,Available,2024-02-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
119172,Approved,HP,OMEN X 25f,,"Australia,Fiji,New Zealand",China,62.224,LCD (LED),83.0,0.31,5.34954898870115,5.0,,,Available,2024-02-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
119173,Approved,KONKA,KD32908GC,,"Australia,Fiji,New Zealand",China,80.103,LCD (LED),182.0,0.3,3.5515493631319,3.5,,,Available,2024-02-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
119188,Approved,Acer,EI491CR,EI491CR,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,http://www.acer.com.au/,,Available,2024-03-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119188,Approved,Acer,UM.SE1SA.P01,EI491CR,"Australia,Fiji,New Zealand",China,124.219,LCD (LED),223.0,0.32,4.0559204258626,4.0,http://www.acer.com.au/,,Available,2024-03-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119225,Approved,PHILIPS,288P6L,,"Australia,Fiji,New Zealand",China,70.854,LCD (LED),244.0,0.41,1.34174524702599,1.0,http://www.tpv-tech.com,,Available,2024-02-15,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
119232,Approved,AOC,G2868,,"Australia,Fiji,New Zealand",China,70.854,LCD,150.0,0.89,3.52210371282748,3.5,http://www.tpv-tech.com,,Available,2024-02-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
119294,Approved,ViewSonic,VS15826,,"Australia,New Zealand",China,43.26,LCD (LED),46.0,0.27,6.31629476231259,6.0,http://www.viewsonic.com/,http://www.viewsonic.com/,Available,2024-04-09,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119300,Approved,MSI,3EA36,"Oculux NXG252R, 3EA36","Australia,Fiji,New Zealand",China,62.228,LCD (LED),110.0,0.51,4.08784192253524,4.0,,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119300,Approved,MSI,Oculux NXG252R,"Oculux NXG252R, 3EA36","Australia,Fiji,New Zealand",China,62.228,LCD (LED),110.0,0.51,4.08784192253524,4.0,,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119300,Approved,MSI,"Oculux NXG252R, 3EA36","Oculux NXG252R, 3EA36","Australia,Fiji,New Zealand",China,62.228,LCD (LED),110.0,0.51,4.08784192253524,4.0,,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119349,Approved,SAMSUNG ELECTRONICS,LC49RG90SSEXXY,,"Australia,Fiji,New Zealand",South Korea,123.933,LCD (LED),368.0,0.5,1.79536873961045,1.5,,http://www.samsung.com.au,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
119380,Approved,PHILIPS,271E1C,"271E1C,271E1SC","Australia,Fiji,New Zealand",China,68.599,LCD,112.0,0.245,4.65568865441729,4.5,http://www.tpv-tech.com,,Available,2024-03-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
119380,Approved,PHILIPS,"271E1C,271E1SC","271E1C,271E1SC","Australia,Fiji,New Zealand",China,68.599,LCD,112.0,0.245,4.65568865441729,4.5,http://www.tpv-tech.com,,Available,2024-03-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
119380,Approved,PHILIPS,271E1SC,"271E1C,271E1SC","Australia,Fiji,New Zealand",China,68.599,LCD,112.0,0.245,4.65568865441729,4.5,http://www.tpv-tech.com,,Available,2024-03-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
119381,Approved,PHILIPS,170S9,,"Australia,Fiji,New Zealand",China,43.275,LCD,49.0,0.23,6.03566106948666,6.0,http://www.tpv-tech.com,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119393,Approved,LG,24ML600M,,"Australia,New Zealand","Indonesia,South Korea,China",60.47,LCD (LED),57.0,0.2,6.87261417956814,6.0,,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119395,Approved,MSI,3DA2,,"Australia,Fiji,New Zealand",Taiwan,80.009,LCD (LED),219.0,0.3786,2.7118799526519,2.5,http://www.amtran.com/,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
119396,Approved,LG,27ML600M,,"Australia,New Zealand","Indonesia,South Korea,China",68.599,LCD (LED),71.0,0.24,6.69840506530715,6.0,,,Available,2024-02-26,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119439,Approved,ViewSonic,VS17801,,"Australia,New Zealand",China,68.565,LCD (LED),142.0,0.25,3.58891886097461,3.5,http://www.viewsonic.com/,http://www.viewsonic.com/,Available,2024-05-13,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
119550,Approved,LG,27UL500,,"Australia,New Zealand","Indonesia,South Korea,China",68.466,LCD (LED),129.0,0.29,4.00958893210877,4.0,,,Available,2024-03-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119711,Approved,HP,E273d,,"Australia,Fiji,New Zealand",China,68.599,LCD (LED),103.0,0.293,5.03104480489065,5.0,,http://www.hp.com/,Available,2024-03-27,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
119917,Approved,BenQ,XL2430,,"Australia,Fiji,New Zealand",China,60.969,LCD (LED),118.0,0.33,3.66277073181627,3.5,http://www.benq.com.au/,http://benqshop.com.au/,Available,2024-04-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
119928,Approved,Acer,XV272UP,,"Australia,Fiji,New Zealand",China,69.469,LCD (LED),150.0,0.35,3.52727539618421,3.5,http://www.acer.com.au/,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
119940,Approved,SAMSUNG,LC27R500FHEXXY,,"Australia,Fiji,New Zealand",China,68.599,LCD (LED),126.0,0.0,4.1278533889001,4.0,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
119947,Approved,HP,22x,HSD-0041-V,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),66.0,0.2106,5.60637530360828,5.5,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
119947,Approved,HP,HP 22x,HSD-0041-V,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),66.0,0.2106,5.60637530360828,5.5,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
119947,Approved,HP,HP 22x 21.5-inch Display,HSD-0041-V,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),66.0,0.2106,5.60637530360828,5.5,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
119947,Approved,HP,HP 22x Display,HSD-0041-V,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),66.0,0.2106,5.60637530360828,5.5,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
119947,Approved,HP,HSD-0041-V,HSD-0041-V,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),66.0,0.2106,5.60637530360828,5.5,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
119985,Approved,ViewSonic,VS17484,,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),95.0,0.28,4.58338995257403,4.5,,,Available,2024-04-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
119986,Approved,HP,24x,HSD-0032-V,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),60.0,0.322,6.6427473781954,6.0,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119986,Approved,HP,HP 24x,HSD-0032-V,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),60.0,0.322,6.6427473781954,6.0,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119986,Approved,HP,HP 24x 23.8-inch Display,HSD-0032-V,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),60.0,0.322,6.6427473781954,6.0,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119986,Approved,HP,HP 24x Display,HSD-0032-V,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),60.0,0.322,6.6427473781954,6.0,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
119986,Approved,HP,HSD-0032-V,HSD-0032-V,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),60.0,0.322,6.6427473781954,6.0,,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
120023,Approved,LG,27UL650,,"Australia,New Zealand","Indonesia,South Korea,China",68.466,LCD (LED),114.0,0.23,4.56355500121159,4.5,,,Available,2024-04-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
120024,Approved,Acer,CB271HU,,"Australia,Fiji,New Zealand",China,68.467,LCD (LED),146.0,1.05,3.45479772427026,3.0,http://www.acer.com.au/,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
120025,Approved,Acer,B246HYL,,"Australia,Fiji,New Zealand",China,60.47,LCD (LED),111.0,0.29,3.88584207904119,3.5,http://www.acer.com.au/,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
120027,Approved,Acer,XV273KP,,"Australia,Fiji,New Zealand",China,68.4,LCD (LED),207.0,0.35,1.88388504829813,1.5,http://www.acer.com.au/,,Available,2024-03-28,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
120040,Approved,HP,27f 4k Display,,"Australia,Fiji,New Zealand",China,68.466,LCD (LED),115.0,0.1905,4.52441571209785,4.5,http://www.lehuisz.com/,,Available,2024-04-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
120053,Approved,HP,34f Curved Display,,"Australia,Fiji,New Zealand",China,86.705,LCD (LED),174.0,0.2934,3.66705058623215,3.5,http://www.lehuisz.com/,,Available,2024-04-05,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
120061,Approved,Acer,KG271UA,,"Australia,Fiji,New Zealand",China,68.506,LCD (LED),122.0,0.32,4.26440516396822,4.0,http://www.acer.com.au/,,Available,2024-04-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
