ApplStandard,Brand,Country,Lamp_Freq,Model No,Family Name,N-Standard,nom_len,nom_watt,Rated_CRI,Rated_IE,Rated_IL,Rated_ILW,Rated_ME,Rated_ML,Rated_MLW,Sold_in,Submit_ID,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,ILCOS Code,Nominal Diameter (mm)
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61097,FT5/24W/840/GE/SL1,AS/NZS 4782.1:2004,550.0,24.0,84.0,83.0222222222222,1868.0,22.5,74.7577092511013,1697.0,22.7,"Australia,New Zealand",110298,Approved,2022-10-24,,Class 1,Unavailable,,,FDH-24-L/P-G5-16/550,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F24W/840/LL,FT5/24W/840/GE/SL1,AS/NZS 4782.1:2004,550.0,24.0,84.0,83.0222222222222,1868.0,22.5,74.7577092511013,1697.0,22.7,"Australia,New Zealand",110298,Approved,2022-10-24,,Class 1,Unavailable,,,FDH-24-L/P-G5-16/550,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/24W/840/GE/SL1,FT5/24W/840/GE/SL1,AS/NZS 4782.1:2004,550.0,24.0,84.0,83.0222222222222,1868.0,22.5,74.7577092511013,1697.0,22.7,"Australia,New Zealand",110298,Approved,2022-10-24,,Class 1,Unavailable,,,FDH-24-L/P-G5-16/550,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61078,FT5/28W/840/GE/WM/SL1,AS/NZS 4782.1:2004,1149.0,28.0,81.0,102.528301886792,2717.0,26.5,92.4719101123596,2469.0,26.7,"Australia,New Zealand",110299,Approved,2022-10-23,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F26W/840/WM,FT5/28W/840/GE/WM/SL1,AS/NZS 4782.1:2004,1149.0,28.0,81.0,102.528301886792,2717.0,26.5,92.4719101123596,2469.0,26.7,"Australia,New Zealand",110299,Approved,2022-10-23,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/28W/840/GE/WM/SL1,FT5/28W/840/GE/WM/SL1,AS/NZS 4782.1:2004,1149.0,28.0,81.0,102.528301886792,2717.0,26.5,92.4719101123596,2469.0,26.7,"Australia,New Zealand",110299,Approved,2022-10-23,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,MIRABELLA,China,50Hz,TR2085000036,,AS/NZS 4782.1:2004,1200.0,36.0,80.0,82.7123287671233,3019.0,36.5,71.763085399449,2605.0,36.3,Australia,110730,Approved,2022-11-02,,Class 3,Available,,http://www.mirabella.com.au,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,MIRABELLA,China,50Hz,TR2085000018,,AS/NZS 4782.1:2004,600.0,18.0,80.0,70.6214689265537,1250.0,17.7,60.7182320441989,1099.0,18.1,Australia,110733,Approved,2022-10-31,,Class 1,Available,,http://www.mirabella.com.au,FD-18-E-G13-26/600,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"18W, 830 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"18W, 840 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"18W, 865 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
