Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,452,"130.0,255.0","105.0,239.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,255,130,5T,1587.0,False,MEPS 2005 (table 3a),MR-385X-W-NZ,,AS/NZS 4474.1:2007,2.5,2.6108,,,500.106,"Australia,New Zealand",43742,Superseded,385.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,463.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0191
False,AS/NZS 4474.2:2009,MITSUBISHI ELECTRIC,795,"301.0,20.0,44.0,138.0,110.0","277.0,5.0,23.0,73.0,69.0","Fresh Food,Short term frozen food,Short term frozen food,Special,Freezer",Upright,Japan,728.0,Cooled appliance,301,110,5T,1821.0,False,MEPS 2010,MR-G57N,,AS/NZS 4474.1:2007,1.0,1.2217,"2,1,1,1,1",447.85,1041.28,New Zealand,43743,Superseded,613.0,745.0,,2011-12-01,Class 5,Unavailable,,,334.0,0.384,675.6,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0271
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,570,"178.0,382.0","147.0,357.0","Freezer,Fresh Food",Upright,Thailand,741.0,Refrigerator/Freezer,382,178,5T,1777.0,False,MEPS 2005 (table 3a),MR-560XL-ST-NZ,,AS/NZS 4474.1:2007,2.0,2.4734,,,577.25,"Australia,New Zealand",43769,Superseded,560.0,753.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,668.8,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0190
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,570,"178.0,382.0","147.0,357.0","Freezer,Fresh Food",Upright,Thailand,741.0,Refrigerator/Freezer,382,178,5T,1777.0,False,MEPS 2005 (table 3a),MR-560XL-W-NZ,,AS/NZS 4474.1:2007,2.0,2.4734,,,577.25,"Australia,New Zealand",43769,Superseded,560.0,753.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,668.8,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0190
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,570,"178.0,382.0","147.0,357.0","Freezer,Fresh Food",Upright,Thailand,741.0,Refrigerator/Freezer,382,178,5T,1777.0,False,MEPS 2005 (table 3a),MR-560X-ST-NZ,,AS/NZS 4474.1:2007,2.0,2.4734,,,577.25,"Australia,New Zealand",43769,Superseded,560.0,753.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,668.8,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0190
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,570,"178.0,382.0","147.0,357.0","Freezer,Fresh Food",Upright,Thailand,741.0,Refrigerator/Freezer,382,178,5T,1777.0,False,MEPS 2005 (table 3a),MR-560X-W-NZ,,AS/NZS 4474.1:2007,2.0,2.4734,,,577.25,"Australia,New Zealand",43769,Superseded,560.0,753.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,668.8,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0190
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,525,"130.0,324.0","105.0,313.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,324,130,5T,1802.0,False,MEPS 2005 (table 3a),MR-455XL-ST-NZ,,AS/NZS 4474.1:2007,2.0,2.3132,,,525.97,"Australia,New Zealand",43812,Superseded,454.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,532.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0189
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,525,"130.0,324.0","105.0,313.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,324,130,5T,1802.0,False,MEPS 2005 (table 3a),MR-455XL-W-NZ,,AS/NZS 4474.1:2007,2.0,2.3132,,,525.97,"Australia,New Zealand",43812,Superseded,454.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,532.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0189
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,525,"130.0,324.0","105.0,313.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,324,130,5T,1802.0,False,MEPS 2005 (table 3a),MR-455X-ST-NZ,,AS/NZS 4474.1:2007,2.0,2.3132,,,525.97,"Australia,New Zealand",43812,Superseded,454.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,532.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0189
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,525,"130.0,324.0","105.0,313.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,324,130,5T,1802.0,False,MEPS 2005 (table 3a),MR-455X-W-NZ,,AS/NZS 4474.1:2007,2.0,2.3132,,,525.97,"Australia,New Zealand",43812,Superseded,454.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,532.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0189
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,520,"115.0,175.0","90.0,160.0","Freezer,Fresh Food",Upright,Thailand,635.0,Cooled appliance,175,115,5B,1610.0,False,MEPS 2005 (table 3a),MR-H290XL-ST-NZ,,AS/NZS 4474.1:2007,1.5,1.5686,,,566.121,"Australia,New Zealand",43838,Superseded,290.0,585.0,,2010-03-31,Class 6,Unavailable,,,411.0,0.357,359.0,5B,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0188
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,520,"115.0,175.0","90.0,160.0","Freezer,Fresh Food",Upright,Thailand,635.0,Cooled appliance,175,115,5B,1610.0,False,MEPS 2005 (table 3a),MR-H290XL-W-NZ,,AS/NZS 4474.1:2007,1.5,1.5686,,,566.121,"Australia,New Zealand",43838,Superseded,290.0,585.0,,2010-03-31,Class 6,Unavailable,,,411.0,0.357,359.0,5B,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0188
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,520,"115.0,175.0","90.0,160.0","Freezer,Fresh Food",Upright,Thailand,635.0,Cooled appliance,175,115,5B,1610.0,False,MEPS 2005 (table 3a),MR-H290X-ST-NZ,,AS/NZS 4474.1:2007,1.5,1.5686,,,566.121,"Australia,New Zealand",43838,Superseded,290.0,585.0,,2010-03-31,Class 6,Unavailable,,,411.0,0.357,359.0,5B,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0188
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,520,"115.0,175.0","90.0,160.0","Freezer,Fresh Food",Upright,Thailand,635.0,Cooled appliance,175,115,5B,1610.0,False,MEPS 2005 (table 3a),MR-H290X-W-NZ,,AS/NZS 4474.1:2007,1.5,1.5686,,,566.121,"Australia,New Zealand",43838,Superseded,290.0,585.0,,2010-03-31,Class 6,Unavailable,,,411.0,0.357,359.0,5B,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0188
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,431,"75.0,185.0","61.0,177.0","Freezer,Fresh Food",Upright,Thailand,654.0,Refrigerator/Freezer,185,75,5T,1592.0,False,MEPS 2005 (table 3a),MR-260X-ST-NZ,,AS/NZS 4474.1:2007,1.5,1.9772,,,440.879,"Australia,New Zealand",43842,Superseded,260.0,555.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,305.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0187
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,431,"75.0,185.0","61.0,177.0","Freezer,Fresh Food",Upright,Thailand,654.0,Refrigerator/Freezer,185,75,5T,1592.0,False,MEPS 2005 (table 3a),MR-260X-W-NZ,,AS/NZS 4474.1:2007,1.5,1.9772,,,440.879,"Australia,New Zealand",43842,Superseded,260.0,555.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,305.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0187
False,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,570,"67.0,169.0,111.0,29.0","45.0,160.0,48.0,23.0","Freezer,Fresh Food,Cellar,Special",Upright,Thailand,639.0,Refrigerator/Freezer,169,67,5B,1655.0,False,MEPS 2005 (table 3a),MR-CU375XL-ST-NZ,,AS/NZS 4474.1:2007,1.0,1.3568,"1,1,1,0",36.85,585.581,"Australia,New Zealand",43843,Superseded,376.0,600.0,,2010-03-31,Class 6,Unavailable,,,411.0,0.357,385.8,5B,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0193
