ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,Family Name,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Water Consumption (litres),Star Rating (old),Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMU88TS02A,GV640WT(951),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108242,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMV88TX02A,GV640WT(951),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108242,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,GV640WT(952),GV640WT(952),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108246,Approved,11.85,Freestanding,True,,2022-06-20,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMS88TI04A,GV640WT(952),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108246,Approved,11.85,Freestanding,True,,2022-06-20,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMU88TS04A,GV640WT(952),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108246,Approved,11.85,Freestanding,True,,2022-06-20,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,GV640WT(953),GV640WT(953),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108248,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMI66MS01A,GV640WT(953),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108248,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMU66MS01A,GV640WT(953),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108248,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMV66MX01A,GV640WT(953),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108248,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,GV640WT(954),GV640WT(954),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108249,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMP66MX01A,GV640WT(954),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108249,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
