"Heating.Elements","app","powerkW","adjust_temp","Gross.Store.Cap"
0,"hotwater_electric",1.81,"True",125
0,"hotwater_electric",1.53,"True",80
0,"hotwater_electric",1.53,"True",80
0,"hotwater_electric",2.44,"True",250
0,"hotwater_electric",2.44,"True",250
0,"hotwater_electric",2.72,"True",315
0,"hotwater_electric",2.72,"True",315
0,"hotwater_electric",2.93,"True",400
0,"hotwater_electric",2.93,"True",400
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.297,"True",88
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.542,"True",130
0,"hotwater_electric",1.91,"True",172
0,"hotwater_electric",1.91,"True",172
0,"hotwater_electric",1.91,"True",172
0,"hotwater_electric",1.91,"True",172
0,"hotwater_electric",1.91,"True",172
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.24,"True",33
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
0,"hotwater_electric",1.45,"True",55
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.78,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
1,"hotwater_electric",3.12,"True",330
1,"hotwater_electric",3.12,"True",330
1,"hotwater_electric",3.12,"True",330
1,"hotwater_electric",3.12,"True",330
1,"hotwater_electric",3.12,"True",330
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
0,"hotwater_electric",1.71,"True",135
0,"hotwater_electric",2.86,"True",315
0,"hotwater_electric",2.86,"True",315
0,"hotwater_electric",2.86,"True",315
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",1.95,"True",125
0,"hotwater_electric",1.95,"True",125
0,"hotwater_electric",1.95,"True",125
0,"hotwater_electric",1.95,"True",125
0,"hotwater_electric",1.95,"True",125
1,"hotwater_electric",3.06,"True",315
1,"hotwater_electric",3.06,"True",315
1,"hotwater_electric",3.06,"True",315
0,"hotwater_electric",2.16,"True",160
0,"hotwater_electric",2.16,"True",160
0,"hotwater_electric",2.16,"True",160
0,"hotwater_electric",2.16,"True",160
0,"hotwater_electric",2.16,"True",160
0,"hotwater_electric",1.67,"True",80
0,"hotwater_electric",1.67,"True",80
0,"hotwater_electric",1.67,"True",80
0,"hotwater_electric",1.67,"True",80
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.78,"True",250
1,"hotwater_electric",2.36,"True",160
1,"hotwater_electric",2.36,"True",160
1,"hotwater_electric",2.36,"True",160
1,"hotwater_electric",2.36,"True",160
0,"hotwater_electric",1.75,"True",125
0,"hotwater_electric",2.02,"True",270
0,"hotwater_electric",2.88,"True",450
0,"hotwater_electric",2.65,"True",340
0,"hotwater_electric",1.95,"True",125
0,"hotwater_electric",1.15,"True",33
0,"hotwater_electric",1.15,"True",33
0,"hotwater_electric",1.15,"True",33
0,"hotwater_electric",1.15,"True",33
0,"hotwater_electric",1.15,"True",33
0,"hotwater_electric",2.16,"True",165
0,"hotwater_electric",2.58,"True",250
0,"hotwater_electric",2.86,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",2.84,"True",250
