"Tot.Vol","powerkW","app","star","Adaptive.Defrost","Configuration"
400,0.956164383561644,"fridge_freezer",3,"False","Upright"
400,0.956164383561644,"fridge_freezer",3,"False","Upright"
471,1,"fridge_freezer",3,"False","Upright"
471,1,"fridge_freezer",3,"False","Upright"
471,1,"fridge_freezer",3,"False","Upright"
471,1,"fridge_freezer",3,"False","Upright"
471,1,"fridge_freezer",3,"False","Upright"
419,0.956164383561644,"fridge_freezer",3,"False","Upright"
419,0.956164383561644,"fridge_freezer",3,"False","Upright"
419,0.956164383561644,"fridge_freezer",3,"False","Upright"
701,1.74794520547945,"fridge_freezer",2,"True","Upright"
533,1.05479452054795,"fridge_freezer",3,"False","Upright"
533,1.05479452054795,"fridge_freezer",3,"False","Upright"
533,1.05479452054795,"fridge_freezer",3,"False","Upright"
344,0.868493150684931,"fridge_freezer",3,"False","Upright"
344,0.868493150684931,"fridge_freezer",3,"False","Upright"
344,0.868493150684931,"fridge_freezer",3,"False","Upright"
344,0.868493150684931,"fridge_freezer",3,"False","Upright"
601,1.41369863013699,"fridge_freezer",2,"False","Upright"
588,1.4,"fridge_freezer",2,"False","Upright"
588,1.4,"fridge_freezer",2,"False","Upright"
588,1.4,"fridge_freezer",2,"False","Upright"
318,0.827397260273973,"fridge_freezer",3,"False","Upright"
318,0.827397260273973,"fridge_freezer",3,"False","Upright"
318,0.827397260273973,"fridge_freezer",3,"False","Upright"
318,0.827397260273973,"fridge_freezer",3,"False","Upright"
318,0.827397260273973,"fridge_freezer",3,"False","Upright"
447,1.01369863013699,"fridge_freezer",3,"False","Upright"
447,1.01369863013699,"fridge_freezer",3,"False","Upright"
447,1.01369863013699,"fridge_freezer",3,"False","Upright"
270.9,1.07397260273973,"fridge_freezer",2,"True","Upright"
447,1,"fridge_freezer",3,"False","Upright"
447,1,"fridge_freezer",3,"False","Upright"
447,1,"fridge_freezer",3,"False","Upright"
442,1.18630136986301,"fridge_freezer",2,"True","Upright"
442,1.18630136986301,"fridge_freezer",2,"True","Upright"
442,1.18630136986301,"fridge_freezer",2,"True","Upright"
442,1.18630136986301,"fridge_freezer",2,"True","Upright"
442,1.18630136986301,"fridge_freezer",2,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
519,1.13424657534247,"fridge_freezer",3,"True","Upright"
614,1.24109589041096,"fridge_freezer",3,"True","Upright"
614,1.24109589041096,"fridge_freezer",3,"True","Upright"
614,1.24109589041096,"fridge_freezer",3,"True","Upright"
404,0.986301369863014,"fridge_freezer",3,"False","Upright"
404,0.986301369863014,"fridge_freezer",3,"False","Upright"
404,0.986301369863014,"fridge_freezer",3,"False","Upright"
404,0.972602739726027,"fridge_freezer",3,"False","Upright"
404,0.972602739726027,"fridge_freezer",3,"False","Upright"
404,0.972602739726027,"fridge_freezer",3,"False","Upright"
233,1.13698630136986,"fridge_freezer",2,"False","Upright"
233,1.13698630136986,"fridge_freezer",2,"False","Upright"
233,1.13698630136986,"fridge_freezer",2,"False","Upright"
450,1.06301369863014,"fridge_freezer",3,"True","Upright"
207,1.04109589041096,"fridge_freezer",2,"False","Upright"
239,1.12054794520548,"fridge_freezer",2,"False","Upright"
268,1.16438356164384,"fridge_freezer",2,"False","Upright"
369,1.07671232876712,"fridge_freezer",2,"True","Upright"
423,1.14246575342466,"fridge_freezer",2,"True","Upright"
423,1.14246575342466,"fridge_freezer",2,"True","Upright"
423,1.14246575342466,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
867,2.01369863013699,"fridge_freezer",2,"False","Upright"
672,1.68493150684932,"fridge_freezer",2,"False","Upright"
665,1.71232876712329,"fridge_freezer",2,"True","Side by Side"
665,1.71232876712329,"fridge_freezer",2,"True","Side by Side"
725,1.76986301369863,"fridge_freezer",2,"True","Upright"
320,1.12876712328767,"fridge_freezer",2,"False","Upright"
320,1.12876712328767,"fridge_freezer",2,"False","Upright"
320,1.12876712328767,"fridge_freezer",2,"False","Upright"
