"app","powerkW","star","Configuration1"
"aircon",16.802,0,"Ducted"
"aircon",16.802,0,"Ducted"
"aircon",6.475,0,"Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",0.595,4,"Non Ducted"
"aircon",2.695,2,"Non Ducted"
"aircon",2.695,0,"Non Ducted"
"aircon",8.53,0,"Ducted"
"aircon",11.285,0,"Ducted"
"aircon",12.57,0,"Ducted"
"aircon",17.305,0,"Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",3.665,0,"Ducted"
"aircon",2.8,2,"Non Ducted"
"aircon",2.965,0,"Ducted"
"aircon",2.965,0,"Ducted"
"aircon",2.965,0,"Ducted"
"aircon",2.965,0,"Ducted"
"aircon",2.935,0,"Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.63,3,"Non Ducted"
"aircon",2.075,1,"Non Ducted"
"aircon",2.375,1,"Non Ducted"
"aircon",0.85,3,"Non Ducted"
"aircon",0.88,2,"Non Ducted"
"aircon",1.39,2,"Non Ducted"
"aircon",2,2,"Non Ducted"
"aircon",0.875,3,"Non Ducted"
"aircon",2.135,2,"Non Ducted"
"aircon",2.325,2,"Non Ducted"
"aircon",2.42,2,"Non Ducted"
"aircon",1.32,2,"Non Ducted"
"aircon",2.02,2,"Non Ducted"
"aircon",2.335,1,"Non Ducted"
"aircon",1.365,2,"Non Ducted"
"aircon",0.595,4,"Non Ducted"
"aircon",0.875,3,"Non Ducted"
"aircon",1.365,2,"Non Ducted"
"aircon",2.135,2,"Non Ducted"
"aircon",2.42,2,"Non Ducted"
"aircon",2.8,2,"Non Ducted"
"aircon",2.8,2,"Non Ducted"
"aircon",2.8,2,"Non Ducted"
"aircon",0.52,3,"Non Ducted"
"aircon",0.615,2,"Non Ducted"
"aircon",0.72,2,"Non Ducted"
"aircon",0.945,2,"Non Ducted"
"aircon",1.54,1,"Non Ducted"
"aircon",1.675,1,"Non Ducted"
"aircon",2.035,1,"Non Ducted"
"aircon",2.475,1,"Non Ducted"
"aircon",1.535,0,"Non Ducted"
"aircon",1.565,0,"Ducted"
"aircon",2.235,0,"Ducted"
"aircon",2.61,0,"Ducted"
"aircon",2.915,0,"Ducted"
"aircon",1.945,0,"Non Ducted"
"aircon",2.1,0,"Non Ducted"
