"app","powerkW","star","screensize","Screen_Tech","Power.supply","Tuner.Type"
"television",0.723287671232877,3,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.282191780821918,2,60.969,"LCD","EPS","Analogue/Digital"
"television",1.18904109589041,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.394520547945205,3,80.043,"LCD","Internal","Analogue/Digital"
"television",0.926027397260274,2,120.94,"LCD","Internal","Analogue/Digital"
"television",1.61643835616438,2,163.896,"LCD (LED)","Internal","Analogue/Digital"
"television",0.26027397260274,4,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.276712328767123,4,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.394520547945205,4,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.4,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.468493150684932,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.542465753424658,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.728767123287671,3,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.802739726027397,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",1.03013698630137,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.936986301369863,3,151.338,"LCD (LED)","Internal","Analogue/Digital"
"television",0.986301369863014,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",1.18082191780822,3,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",0.189041095890411,3,47.013,"LCD (LED)","EPS","Analogue/Digital"
"television",0.66027397260274,2,105.475,"LCD (LED)","Internal","Analogue/Digital"
"television",0.780821917808219,3,121.001,"LCD (LED)","Internal","Analogue/Digital"
"television",0.942465753424658,2,125.744,"LCD (LED)","Internal","Analogue/Digital"
"television",0.942465753424658,2,125.744,"LCD (LED)","Internal","Analogue/Digital"
"television",0.942465753424658,2,125.744,"LCD (LED)","Internal","Analogue/Digital"
"television",1.09041095890411,3,146.059,"LCD (LED)","Internal","Analogue/Digital"
"television",1.09041095890411,3,146.059,"LCD (LED)","Internal","Analogue/Digital"
"television",1.09041095890411,3,146.059,"LCD (LED)","Internal","Analogue/Digital"
"television",1.56986301369863,2,163.853,"LCD (LED)","Internal","Analogue/Digital"
"television",1.56986301369863,2,163.853,"LCD (LED)","Internal","Analogue/Digital"
"television",1.56986301369863,2,163.853,"LCD (LED)","Internal","Analogue/Digital"
"television",1.23287671232877,3,152.496,"LCD (LED)","Internal","Analogue/Digital"
"television",0.328767123287671,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.241095890410959,4,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.358904109589041,4,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.432876712328767,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.619178082191781,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",1.27945205479452,3,176.564,"LCD (LED)","Internal","Analogue/Digital"
"television",1.45753424657534,4,199.583,"LCD (LED)","Internal","Analogue/Digital"
"television",1.37260273972603,3,163.897,"OLED","Internal","Analogue/Digital"
"television",0.479452054794521,3,107.95,"LCD (LED)","EPS","Analogue/Digital"
"television",0.580821917808219,4,123.219,"LCD (LED)","EPS","Analogue/Digital"
"television",0.942465753424658,2,125.744,"LCD (LED)","Internal","Analogue/Digital"
"television",1.09041095890411,3,146.059,"LCD (LED)","Internal","Analogue/Digital"
"television",1.56986301369863,2,163.853,"LCD (LED)","Internal","Analogue/Digital"
"television",0.263013698630137,4,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.49041095890411,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.528767123287671,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.717808219178082,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.832876712328767,4,151.338,"LCD (LED)","Internal","Analogue/Digital"
"television",0.841095890410959,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",0.928767123287671,2,125.727,"LCD","Internal","Analogue/Digital"
"television",0.468493150684932,4,123.202,"LCD (LED)","Internal","Digital"
"television",0.643835616438356,4,138.783,"LCD (LED)","Internal","Digital"
"television",0.542465753424658,4,138.783,"LCD (LED)","Internal","Digital"
"television",1.12328767123288,2,138.783,"OLED","Internal","Digital"
"television",0.358904109589041,4,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.567123287671233,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.682191780821918,3,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.704109589041096,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.901369863013699,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",1.61095890410959,2,146.059,"LCD (LED)","Internal","Analogue/Digital"
"television",1.98082191780822,2,163.853,"LCD (LED)","Internal","Analogue/Digital"
"television",1.61095890410959,2,146.059,"LCD (LED)","Internal","Analogue/Digital"
"television",1.98082191780822,2,163.853,"LCD (LED)","Internal","Analogue/Digital"
"television",1.15890410958904,2,138.711,"LCD","Internal","Digital"
"television",0.936986301369863,2,123.219,"LCD","Internal","Digital"
"television",0.706849315068493,2,107.141,"LCD","Internal","Digital"
"television",0.23013698630137,4,69.867,"LCD (LED)","Internal","Analogue/Digital"
"television",1.24931506849315,4,189.275,"LCD (LED)","Internal","Analogue/Digital"
"television",1.24931506849315,4,189.275,"LCD (LED)","Internal","Analogue/Digital"
"television",0.734246575342466,3,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.734246575342466,3,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.915068493150685,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.915068493150685,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.865753424657534,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",0.865753424657534,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",1.72328767123288,4,217.425,"LCD (LED)","Internal","Analogue/Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.24657534246575,4,189.275,"LCD (LED)","Internal","Analogue/Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.652054794520548,3,125.741,"LCD","Internal","Analogue/Digital"
"television",0.852054794520548,2,123.219,"LCD (LED)","Internal","Analogue/Digital"
"television",1.04109589041096,3,138.798,"LCD (LED)","Internal","Analogue/Digital"
"television",1.17534246575342,3,163.878,"LCD (LED)","Internal","Analogue/Digital"
