10PercDim,ApplStandard,Brand,CompMinEng,Country,Dimmable,EnergyEffIndex_Det,Inputat25,LampRating,LampTypes,Model No,Family Name,N-Standard,Sold_in,StarterType,Submit_ID,SubmitStatus,TestCorInpPowerAvg,TestMethod,Type,Voltage,VoltageMax,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Rated Voltage,Class,Is the ballast part of an imported Luminaire,Imported Luminaire (Brand),Imported Luminaire (Model),Imported Luminaire (Other identifiers)
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,EC 15,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,EC 18/20,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,EC 30,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,EC 36/40,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,EC 58/65,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,EC/LLEC,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,LLEC 15,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,LLEC 18/20,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,LLEC 30,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,LLEC 36/40,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,CMP,True,Australia,,2 Table 2 AS/NZS 4783.2,,36,FD,LLEC 58/65,EC/LLEC,AS/NZS 4783.1:2001,"Australia,New Zealand",External,115568,Approved,43.0,Appendix E,Ferromagnetic,240.0,0.0,2023-07-16,,Class 3,Available,,,230.0,B2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,3x18,4x18","FD,FD,FD",QTz8 1x18/220-240,Quicktronic QTz8 18W,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116192,Approved,64.0,Appendix C,Electronic,230.0,240.0,2023-09-11,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,3x18,4x18","FD,FD,FD",QTz8 2x18/220-240,Quicktronic QTz8 18W,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116192,Approved,64.0,Appendix C,Electronic,230.0,240.0,2023-09-11,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,3x18,4x18","FD,FD,FD",QTz8 3x18/220-240,Quicktronic QTz8 18W,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116192,Approved,64.0,Appendix C,Electronic,230.0,240.0,2023-09-11,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,3x18,4x18","FD,FD,FD",QTz8 4x18/220-240,Quicktronic QTz8 18W,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116192,Approved,64.0,Appendix C,Electronic,230.0,240.0,2023-09-11,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"18,2x18,3x18,4x18","FD,FD,FD",Quicktronic QTz8 18W,Quicktronic QTz8 18W,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116192,Approved,64.0,Appendix C,Electronic,230.0,240.0,2023-09-11,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 1x14/220-240,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 1x21/220-240,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 1x28/220-240,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 2x14/220-240,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 2x28/220-240,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 3x14/220-240,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,OSRAM,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,"21,28,2x28,""1x14,2x14,3x14""","FDH,FDH,FDH",QTz5 T5 ECG,QTz5 T5 ECG,AS/NZS 4783.1:2001,"Australia,New Zealand",None,116193,Approved,55.8,Appendix C,Electronic,230.0,240.0,2023-09-13,,Class 3,Available,,,220.0,A2,False,,,
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,LDSUN,True,China,,3 Table 3 AS/NZS 4783.2 (Linear),,15,FD,LDS-T5-Y14M,,AS/NZS 4783.1:2001,"Australia,New Zealand",None,122371,Approved,14.7,Appendix C,Electronic,230.0,240.0,2024-07-18,,Class 3,Available,,,220.0,A3,True,LDSUN,LDS-T5-Y14M,ZHONGSHAN ZOETIC OPTOELECTRONIC TECHNOLOGY CO LTD
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,Brilliant Lighting,True,China,,1 Table 1 AS/NZS 4783.2,,"28,2x28,14 W and 2 X 14W",FD,18819SP001,Electronic T5 ballast,AS/NZS 4783.1:2001,Australia,None,129481,Approved,19.4,Appendix C,Electronic,240.0,240.0,2025-06-26,,Class 3,Available,,,220.0,A2,True,Brilliant Lighting,"18819, 18820, 18821, 18822",T5 Weatherproof Fixture
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,Brilliant Lighting,True,China,,1 Table 1 AS/NZS 4783.2,,"28,2x28,14 W and 2 X 14W",FD,18820SP001,Electronic T5 ballast,AS/NZS 4783.1:2001,Australia,None,129481,Approved,19.4,Appendix C,Electronic,240.0,240.0,2025-06-26,,Class 3,Available,,,220.0,A2,True,Brilliant Lighting,"18819, 18820, 18821, 18822",T5 Weatherproof Fixture
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,Brilliant Lighting,True,China,,1 Table 1 AS/NZS 4783.2,,"28,2x28,14 W and 2 X 14W",FD,18821SP001,Electronic T5 ballast,AS/NZS 4783.1:2001,Australia,None,129481,Approved,19.4,Appendix C,Electronic,240.0,240.0,2025-06-26,,Class 3,Available,,,220.0,A2,True,Brilliant Lighting,"18819, 18820, 18821, 18822",T5 Weatherproof Fixture
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,Brilliant Lighting,True,China,,1 Table 1 AS/NZS 4783.2,,"28,2x28,14 W and 2 X 14W",FD,18822SP001,Electronic T5 ballast,AS/NZS 4783.1:2001,Australia,None,129481,Approved,19.4,Appendix C,Electronic,240.0,240.0,2025-06-26,,Class 3,Available,,,220.0,A2,True,Brilliant Lighting,"18819, 18820, 18821, 18822",T5 Weatherproof Fixture
,Greenhouse and Energy Minimum Standards (Ballasts for Fluorescent Lamps) Determination 2012,Brilliant Lighting,True,China,,1 Table 1 AS/NZS 4783.2,,"28,2x28,14 W and 2 X 14W",FD,Electronic T5 ballast,Electronic T5 ballast,AS/NZS 4783.1:2001,Australia,None,129481,Approved,19.4,Appendix C,Electronic,240.0,240.0,2025-06-26,,Class 3,Available,,,220.0,A2,True,Brilliant Lighting,"18819, 18820, 18821, 18822",T5 Weatherproof Fixture
