Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,Sing_or_fam,standard_rating,condenser_type,cert_program,cooling_capacity,Decl_COP,Decl_IPLV,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status,Product Website,Representative Brand URL,Registration Basis
118883,CARRIER,23XRV5759,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,,1950.0,6.298,10.7,2024-01-23,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
119038,DAIKIN,EWAT420B-SLA2,,"Australia,New Zealand",Italy,Single,True,Air Cooled,,408.0,2.833,4.77,2024-03-04,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
119646,QUANTUM,X080-P2E-HH,,Australia,Germany,Single,True,Water Cooled,,620.0,5.93,9.8,2024-03-21,,Approved,Single product class,Available,http://engie-refrigeration.de,http://engie-refrigeration.de/en/products/chillers,AHRI
119647,QUANTUM,X090-E2E-HL,,Australia,Germany,Single,True,Water Cooled,,800.0,5.81,10.01,2024-03-20,,Approved,Single product class,Available,http://engie-refrigeration.de,http://engie-refrigeration.de/en/products/chillers,AHRI
119772,DAIKIN,HXEV700TSTTG/E2614-RJ-2/C2614-JK-2,,Australia,China,Single,True,Water Cooled,,1700.0,6.258,11.56,2024-03-18,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
119832,BLUE BOX,TETRIS 2 LN 37.4,,Australia,Italy,Single,True,Air Cooled,,370.0,2.77,4.67,2024-03-19,,Approved,Single product class,Available,http://www.blueboxcooling.com/en,http://www.blueboxcooling.com/en,Eurovent
119834,BLUE BOX,TETRIS 2 LN 41.4,,Australia,Italy,Single,True,Air Cooled,,409.0,2.79,4.69,2024-03-19,,Approved,Single product class,Available,http://www.blueboxcooling.com/en,http://www.blueboxcooling.com/en,Eurovent
119992,DAIKIN,EWAT420B-SLA2+VFDFAN,EWAT420B-SS(L)A2+VFDFAN,"Australia,Fiji,New Zealand",Italy,Family,True,Air Cooled,,416.8,2.869,4.89,2024-04-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
119992,DAIKIN,EWAT420B-SSA2+VFDFAN,EWAT420B-SS(L)A2+VFDFAN,"Australia,Fiji,New Zealand",Italy,Family,True,Air Cooled,,416.8,2.869,4.89,2024-04-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
119992,DAIKIN,EWAT420B-SS(L)A2+VFDFAN,EWAT420B-SS(L)A2+VFDFAN,"Australia,Fiji,New Zealand",Italy,Family,True,Air Cooled,,416.8,2.869,4.89,2024-04-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
119996,DAIKIN,EWAT510B-SLA2+VFDFAN,EWAT510B-SS(L)A2+VFDFAN,"Australia,Fiji,New Zealand",Italy,Family,True,Air Cooled,,512.5,2.79,4.81,2024-04-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
119996,DAIKIN,EWAT510B-SSA2+VFDFAN,EWAT510B-SS(L)A2+VFDFAN,"Australia,Fiji,New Zealand",Italy,Family,True,Air Cooled,,512.5,2.79,4.81,2024-04-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
119996,DAIKIN,EWAT510B-SS(L)A2+VFDFAN,EWAT510B-SS(L)A2+VFDFAN,"Australia,Fiji,New Zealand",Italy,Family,True,Air Cooled,,512.5,2.79,4.81,2024-04-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
120223,YORK,YKFEFTQ75,,"Australia,Fiji,New Zealand","United States of America,Australia",Single,True,Water Cooled,,2155.0,6.01,10.58,2024-05-15,,Approved,Single product class,Available,http://www.johnsoncontrols.com.au/,http://www.johnsoncontrols.com.au,AHRI
120407,CARRIER,23XRV3232,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,,1052.0,6.198,10.34,2024-04-10,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
120409,DAIKIN,HTMXEDT4G / E2610-BE-2 / C2210-BL-2,,"Australia,New Zealand",China,Single,False,Water Cooled,,1000.0,5.85,10.504,2024-04-10,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120418,DAIKIN,HTS087MAT47G/E3012-CE-2/C2612-BLYY-2,,Australia,China,Single,False,Water Cooled,,1700.0,5.913,9.447,2024-04-10,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120431,DAIKIN,ZUWY 5M2LG KEE3 KCL2B,,Australia,China,Single,False,Water Cooled,,1064.0,5.477,6.114,2024-04-10,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120434,DAIKIN,HXEV350DSTTG/E2210-RH-2/C2210-KK-2,,Australia,China,Single,True,Water Cooled,,700.0,6.377,10.82,2024-04-17,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120481,YORK,YKPFPSK25,,"Australia,Fiji,New Zealand","United States of America,Australia",Single,True,Water Cooled,,4720.0,6.474,10.87,2024-05-15,,Approved,Single product class,Available,http://www.johnsoncontrols.com.au/,http://www.johnsoncontrols.com.au,AHRI
120505,RHOSS,TCAEQY4415,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,383.0,2.72,4.28,2119-04-16,,Approved,Single product class,Available,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
120507,RHOSS,TCHVBZ 2431 HE,,New Zealand,Italy,Single,True,Water Cooled,,440.1,5.18,5.84,2119-04-16,,Approved,Single product class,Available,http://www.clima.co.nz/,http://www.Rhoss.it,Eurovent
120577,DAIKIN,HXEV350DSTTG/E2212-PH-2/C2212-JK-2,,Australia,China,Single,True,Water Cooled,,800.0,6.322,11.25,2024-04-17,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120580,DAIKIN,HTS087MAV49K/E3012-BE-2/C3012-BL-2,,Australia,China,Single,True,Water Cooled,,1950.0,6.071,10.16,2024-04-29,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120694,DAIKIN,ZUWV 4H2DK / E2609-FEE3 / C2209-FBL2,,Australia,China,Single,True,Water Cooled,,678.6,5.695,9.553,2024-04-29,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120698,DAIKIN,ZUWV4I2JG / E2609-FFE3 / C2209-FCL2,,Australia,China,Single,True,Water Cooled,,790.8,5.549,9.827,2024-04-29,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120701,DAIKIN,HXEV400TSTTG/E2614-PH-2/C2614-JK-2,,Australia,China,Single,True,Water Cooled,,1500.0,6.369,11.78,2024-04-29,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
120921,DAIKIN,HXEV700SSTTG/E2209-PH-2/C2009-JK-2,,Australia,China,Single,True,Water Cooled,,700.0,5.945,11.21,2024-04-30,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120933,DAIKIN,HXEV700QSTTG/E3614-SK-2/C3014-JK-2,,Australia,China,Single,True,Water Cooled,,2450.0,6.403,11.62,2024-04-30,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
120934,DAIKIN,HXEV350SSTTG/E2209-QH-2/C2009-KK-2,,Australia,China,Single,True,Water Cooled,,465.0,5.648,10.83,2025-01-31,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
122267,DAIKIN,HTS087MAQ49G/E3612-BE-2/C3612-BL-2,,Australia,China,Single,True,Water Cooled,,2100.0,6.072,10.45,2024-06-13,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
122268,DAIKIN,HXEV400DSTTG/E2210-PH-2/C2210-JK-2,,Australia,China,Single,True,Water Cooled,,950.0,6.196,11.46,2024-06-13,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
122339,DAIKIN,EWAD560TZ-PR,,Australia,Italy,Single,True,Air Cooled,Eurovent,555.8,3.345,7.13,2024-06-18,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,
122398,CARRIER,30KAV1000,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Air Cooled,,971.0,2.997,5.857,2024-07-16,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
