Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,N-Grandfather-Date,Reg_No,SoldIn,Country,Prod_conf,nov,pno,Apply_type_for,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Input voltage (V) Max,Input voltage (V) Min,Output voltage (V) Min
95845,SATO,TG15-5011-25V,TG15-5011-25V,2016-01-22,,APS3603,"Australia,Fiji,New Zealand",Malaysia,AC-DC,25.0,52.5,High Efficiency 2014 (Mark VI),Approved,2021-01-22,,Class 1,Available,,,240.0,100.0,25.0
95846,KPTEC,K15S075150A,,2016-01-15,,APS3556,"Australia,Fiji,New Zealand",China,AC-DC,7.5,11.25,High Efficiency 2008 (Mark V),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,7.5
95847,KPTEC,K65S190378E2,,2016-01-08,,APS3513,"Australia,Fiji,New Zealand",China,AC-DC,19.0,71.82,High Efficiency 2014 (Mark VI),Approved,2021-01-08,,Class 1,Unavailable,,,240.0,100.0,19.0
95848,KPTEC,K12S270050A,,2016-01-08,,APS3512,"Australia,Fiji,New Zealand",China,AC-DC,27.0,13.5,High Efficiency 2014 (Mark VI),Approved,2021-01-08,,Class 1,Unavailable,,,240.0,100.0,27.0
95849,KPTEC,K05S060050A,,2016-01-15,,APS3555,"Australia,Fiji,New Zealand",China,AC-DC,6.0,3.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,6.0
95850,CMP,S048CM1200300,,2016-01-15,,APS3554,"Australia,Fiji,New Zealand",China,AC-DC,12.0,36.0,High Efficiency 2008 (Mark V),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95853,Skynet,SNP-AF87-3,SNP-AF8X-3,2016-01-19,,APS3589,"Australia,Fiji,New Zealand",Taiwan,AC-DC,24.0,76.8,High Efficiency 2014 (Mark VI),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95853,Skynet,SNP-AF89-3,SNP-AF8X-3,2016-01-19,,APS3589,"Australia,Fiji,New Zealand",Taiwan,AC-DC,24.0,76.8,High Efficiency 2014 (Mark VI),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95853,Skynet,SNP-AF8X-3,SNP-AF8X-3,2016-01-19,,APS3589,"Australia,Fiji,New Zealand",Taiwan,AC-DC,24.0,76.8,High Efficiency 2014 (Mark VI),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95864,XVE,XVE-4200200,,2016-01-08,,APS3511,"Australia,Fiji,New Zealand",China,AC-DC,42.0,84.0,High Efficiency 2008 (Mark V),Approved,2021-01-08,,Class 1,Unavailable,,,240.0,100.0,42.0
95877,FUJIA,FJ-SW1160501000,FJ-SW1160501000,2016-01-19,,APS3582,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,5.0
95877,FUJIA,FJ-SW1160501000DN,FJ-SW1160501000,2016-01-19,,APS3582,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,5.0
95877,FUJIA,FJ-SW1160501000UN,FJ-SW1160501000,2016-01-19,,APS3582,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,5.0
