ApplStandard,Brand,Country,In_Voltage,Model No,Family Name,model_comply,N-Standard,network_voltage,Out_Voltage,Output,powersupply,Sold_in,Submit_ID,SubmitStatus,SWERType,tested_PE,ExpDate,GrandDate,Product Class,Transformer Type,Availability Status,Product Website,Representative Brand URL
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,750K4,750K4**,False,AS 2374.1,11kV,433.0,750.0,Three Phase,"Australia,Fiji,New Zealand",106877,Approved,False,99.32,2022-05-03,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,750K4**,750K4**,False,AS 2374.1,11kV,433.0,750.0,Three Phase,"Australia,Fiji,New Zealand",106877,Approved,False,99.32,2022-05-03,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,750K4JE-66,750K4**,False,AS 2374.1,11kV,433.0,750.0,Three Phase,"Australia,Fiji,New Zealand",106877,Approved,False,99.32,2022-05-03,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,1000K5,1000K5**,False,AS 2374.1,22kV,433.0,1000.0,Three Phase,"Australia,Fiji,New Zealand",106882,Approved,False,99.36,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,1000K5**,1000K5**,False,AS 2374.1,22kV,433.0,1000.0,Three Phase,"Australia,Fiji,New Zealand",106882,Approved,False,99.36,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,1000K5JE,1000K5**,False,AS 2374.1,22kV,433.0,1000.0,Three Phase,"Australia,Fiji,New Zealand",106882,Approved,False,99.36,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X100NHW3L,,False,AS 60076.1:2005,11kV,415.0,100.0,Three Phase,New Zealand,107875,Approved,False,98.96,2117-10-02,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X050NHW3M,,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,108406,Approved,False,98.68,2117-09-04,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X015NGS3I,,True,AS 60076.1:2005,11kV,240.0,15.0,Single Phase,New Zealand,108414,Approved,False,98.63,2117-10-02,,Class 1,Oil Immersed,Available,,http://www.abb.co.nz
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,HC Trans,South Korea,11000.0,MP2500,,False,AS 2374.1,11kV,433.0,2500.0,Three Phase,Australia,110210,Approved,False,99.43,2022-09-29,,Class 2,Oil Immersed,Available,http://www.hctr.co.kr/,http://www.hctr.co.kr/
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X200NHW3H,,True,AS 60076.1:2005,11kV,415.0,200.0,Three Phase,New Zealand,110341,Approved,False,99.14,2117-10-02,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X300NHM3R,,True,AS 60076.1:2005,11kV,415.0,300.0,Three Phase,New Zealand,110405,Approved,False,99.24,2117-10-05,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X500NHM3S,,True,AS 60076.1:2005,11kV,415.0,500.0,Three Phase,New Zealand,110412,Approved,False,99.3,2117-10-05,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X750NHM3I,,True,AS 60076.1:2005,11kV,415.0,750.0,Three Phase,New Zealand,110415,Approved,False,99.36,2117-10-05,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,22000.0,X015PAS3A,,True,AS 60076.1:2005,22kV,240.0,15.0,Single Phase,New Zealand,110416,Approved,False,98.66,2117-10-05,,Class 1,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X075NHW3I,,True,AS 60076.1:2005,11kV,415.0,75.0,Three Phase,New Zealand,110418,Approved,False,99.02,2117-10-05,,Class 2,Oil Immersed,Unavailable,http://new.abb.com/vn,http://www.abb.co.nz
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,XK10NHM3F,,False,AS 60076.1:2005,11kV,415.0,1000.0,Three Phase,New Zealand,110473,Approved,False,99.35,2117-10-17,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,22000.0,290304,DTTH 160/20,True,AS 2374.1,22kV,400.0,100.0,Three Phase,"Australia,New Zealand",112309,Approved,False,98.55,2023-02-05,,Class 6,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,22000.0,290305,DTTH 160/20,True,AS 2374.1,22kV,400.0,100.0,Three Phase,"Australia,New Zealand",112309,Approved,False,98.55,2023-02-05,,Class 6,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,22000.0,DTTH 160/20,DTTH 160/20,True,AS 2374.1,22kV,400.0,100.0,Three Phase,"Australia,New Zealand",112309,Approved,False,98.55,2023-02-05,,Class 6,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,CCT,Thailand,22000.0,123519-17 (500kVA 22-0.433kV ONAN),,True,AS 2374.1,22kV,433.0,500.0,Three Phase,"Australia,New Zealand",112585,Approved,False,99.26,2023-02-25,,Class 2,Oil Immersed,Available,,http://Charoenchai Transformers
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,CCT,Thailand,22000.0,123228-24 (2500kVA 22-6.9kV ONAN),,False,AS 2374.1,22kV,6900.0,2500.0,Three Phase,"Australia,New Zealand",112586,Approved,False,99.41,2023-03-05,,Class 2,Oil Immersed,Available,,http://Charoenchai Transformers
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,"ABB Hefei Transformer Co., Ltd",China,22000.0,S11-M-2500/22,,False,AS 2374.1,22kV,480.0,2500.0,Three Phase,Australia,114075,Approved,True,99.44,2023-06-22,,Class 2,Oil Immersed,Available,http://www.abb.com.cn,http://www.abb.com.cn
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,11000.0,291265,,True,AS 2374.1,11kV,690.0,2500.0,Three Phase,Australia,114683,Approved,False,99.34,2023-05-28,,Class 5,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,11000.0,291266,DTTH 200/10,True,AS 2374.1,11kV,415.0,200.0,Three Phase,"Australia,New Zealand",114998,Approved,False,98.82,2023-06-14,,Class 5,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,11000.0,291267,DTTH 200/10,True,AS 2374.1,11kV,415.0,200.0,Three Phase,"Australia,New Zealand",114998,Approved,False,98.82,2023-06-14,,Class 5,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Cast Resin Transformer,Germany,11000.0,DTTH 200/10,DTTH 200/10,True,AS 2374.1,11kV,415.0,200.0,Three Phase,"Australia,New Zealand",114998,Approved,False,98.82,2023-06-14,,Class 5,Dry Type,Available,,https://www.sgb-smit.com/de/
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Metro Power Company,China,22000.0,PE0180034-1,,True,AS 2374.1,22kV,415.0,1000.0,Three Phase,Australia,115226,Approved,False,99.4,2023-06-27,,Class 6,Dry Type,Available,http://www.metropower.com.au,http://www.metropower.com.au
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,Vietnam,11000.0,X150NHW3E,,True,AS 60076.1:2005,11kV,415.0,150.0,Three Phase,New Zealand,115750,Approved,False,99.06,2118-07-26,,Class 2,Oil Immersed,Available,http://new.abb.com/vn,http://www.abb.co.nz
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Tesar,Italy,11000.0,1500kVA Oil Type,,False,AS 2374.1,11kV,400.0,1500.0,Three Phase,Australia,119705,Approved,False,99.39,2024-05-16,,Class 2,Oil Immersed,Available,,
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,ABB,China,11000.0,S-M-1500/11,,False,,11kV,415.0,1500.0,Three Phase,Australia,120426,Approved,False,99.4,2024-04-12,,Class 2,Oil Immersed,Available,,
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,ABB,China,11000.0,S-M-2500/11,,False,,11kV,415.0,2500.0,Three Phase,Australia,120427,Approved,False,99.4,2024-04-12,,Class 2,Oil Immersed,Available,,
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,ABB,China,11000.0,S-M-2000/11,,False,,11kV,415.0,2000.0,Three Phase,Australia,120428,Approved,False,99.407,2024-04-11,,Class 2,Oil Immersed,Available,,
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Tesar,Italy,11000.0,2000kVA Oil Type,,False,AS 2374.1,11kV,400.0,2000.0,Three Phase,Australia,121685,Approved,False,99.42,2024-05-21,,Class 2,Oil Immersed,Available,,
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,Tesar,Italy,11000.0,315kVA Oil Type,,False,AS 2374.1,11kV,400.0,315.0,Three Phase,Australia,121686,Approved,False,99.11,2024-05-22,,Class 2,Oil Immersed,Available,,
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,GE Wavecast,China,11000.0,SCB-1600/11,Wavecast 1600/11,True,AS 2374.1,11kV,433.0,1600.0,Three Phase,"Australia,Fiji,New Zealand",121846,Approved,False,99.36,2024-07-17,,Class 5,Dry Type,Available,,https://anz.geindustrial.com/products/transformers/wavecast-dry-type-transformers
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,GE Wavecast,China,11000.0,SCLB-1600/11,Wavecast 1600/11,True,AS 2374.1,11kV,433.0,1600.0,Three Phase,"Australia,Fiji,New Zealand",121846,Approved,False,99.36,2024-07-17,,Class 5,Dry Type,Available,,https://anz.geindustrial.com/products/transformers/wavecast-dry-type-transformers
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,GE Wavecast,China,11000.0,Wavecast 1600/11,Wavecast 1600/11,True,AS 2374.1,11kV,433.0,1600.0,Three Phase,"Australia,Fiji,New Zealand",121846,Approved,False,99.36,2024-07-17,,Class 5,Dry Type,Available,,https://anz.geindustrial.com/products/transformers/wavecast-dry-type-transformers
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,EEMC,Vietnam,11000.0,Distribution transformer,,True,AS 2374.1,11kV,400.0,1500.0,Three Phase,Australia,122869,Approved,False,99.46,2024-11-20,,Class 2,Oil Immersed,Available,http://www.eemc.com.vn,http://www.eemc.com.vn
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D137,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D342,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D348,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D356,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D585,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D679,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D813,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D921,D348,False,AS 60076.1:2005,11kV,415.0,30.0,Three Phase,New Zealand,123138,Approved,False,98.41,2119-07-29,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D150,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D188,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D332,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D334,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D426,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D683,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D827,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D829,D334,False,AS 60076.1:2005,11kV,415.0,50.0,Three Phase,New Zealand,123139,Approved,False,98.69,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D306,D385,False,AS 60076.1:2005,11kV,415.0,1500.0,Three Phase,New Zealand,123144,Approved,False,99.38,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D385,D385,False,AS 60076.1:2005,11kV,415.0,1500.0,Three Phase,New Zealand,123144,Approved,False,99.38,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D493,D385,False,AS 60076.1:2005,11kV,415.0,1500.0,Three Phase,New Zealand,123144,Approved,False,99.38,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL Limited,New Zealand,11000.0,D596,D385,False,AS 60076.1:2005,11kV,415.0,1500.0,Three Phase,New Zealand,123144,Approved,False,99.38,2119-07-30,,Class 2,Oil Immersed,Available,http://www.eteltransformers.co.nz/,
